Sample;X;Y;Ph;K;P;Na;Ca;Mg;Al
1;11;96;5;50;46.52;0;3.39;0.99;1.4
2;34;83;5.7;46;35.03;0;5.1;1.95;0.1
3;58;70;6.6;56;240.44;0;4.84;1.82;0
4;81;55;6.5;108;93.01;0;4.32;2.06;0
5;104;42;5.7;52;11.05;0;4.49;2.31;0.4
6;126;28;5.6;94;23.28;0;5.69;2.47;0.2
7;151;15;6.4;46;24.6;0;4.55;2.17;0
8;174;0;6.1;78;37.15;0;3.74;1.97;0.1
9;187;25;5.6;56;17;0;3.24;1.68;0.3
10;164;37;5.8;46;44.06;0;4.57;1.96;0.1
11;140;51;6;100;40.91;0;5.67;2.59;0.1
12;118;66;5.5;120;36.94;0;5.58;2.59;0.2
13;94;79;5.2;70;25.49;0;4.15;1.96;0.5
14;70;93;5.5;72;45.08;0;4.1;1.65;0.3
15;48;107;5.7;80;35.03;0;5.27;2.14;0.2
16;24;119;5.6;100;46.52;0;5.28;2.25;0.3
17;0;134;6.1;38;54.12;0;3.32;1.42;0.2
18;38;143;5.4;40;17.51;0;3.76;1.85;0.5
19;61;130;5.9;70;46.52;0;5.32;2.27;0.1
20;85;116;5.7;54;45.08;0;5.13;2.39;0.2
21;101;104;5.7;52;51.44;0;4.94;2.31;0.1
22;131;89;6.3;54;30.06;0;7.27;3.7;0
23;155;75;5.8;88;74.3;0;3.42;1.6;0.2
24;178;61;5.5;60;25.49;0;3.07;1.23;0.2
25;145;111;6.1;44;19.68;0;4.68;2.15;0.1
26;122;125;5.2;64;23.77;0;5.15;1.9;0.4
